RouteNumber,year,first
630224,2012.0,37
630224,2012.0,37
630323,2012.0,36
630510,2012.0,55
630810,2012.0,48
630923,2012.0,37
720111,2012.0,74
720214,2012.0,71
800107,2012.0,37
800407,2012.0,36
800507,2012.0,37
820403,2012.0,46
880104,2012.0,54
880110,2012.0,55
880319,2012.0,58
880417,2012.0,54
880417,2012.0,54
880417,2012.0,54
880504,2012.0,55
881113,2012.0,48
881404,2012.0,55
881404,2012.0,55
881604,2012.0,54
900405,2012.0,75
210302,2013.0,65
210702,2013.0,66
250304,2013.0,38
250406,2013.0,37
350116,2013.0,74
350116,2013.0,74
350116,2013.0,74
350511,2013.0,97
350511,2013.0,97
350610,2013.0,97
350814,2013.0,75
360219,2013.0,99
360416,2013.0,98
360417,2013.0,98
360511,2013.0,107
360511,2013.0,107
440109,2013.0,115
440113,2013.0,107
440209,2013.0,115
440315,2013.0,109
440415,2013.0,108
440508,2013.0,121
440516,2013.0,110
460107,2013.0,69
460107,2013.0,69
460107,2013.0,69
460307,2013.0,66
460405,2013.0,71
460501,2013.0,101
460508,2013.0,58
460508,2013.0,58
460604,2013.0,78
460703,2013.0,74
460703,2013.0,74
460703,2013.0,74
460704,2013.0,75
460706,2013.0,71
470403,2013.0,99
470503,2013.0,98
500132,2013.0,119
500133,2013.0,119
500135,2013.0,119
500180,2013.0,118
500180,2013.0,118
500215,2013.0,126
500235,2013.0,119
500271,2013.0,127
500271,2013.0,127
500332,2013.0,120
500413,2013.0,126
500422,2013.0,120
500429,2013.0,119
500541,2013.0,118
500635,2013.0,119
500729,2013.0,119
500822,2013.0,125
500834,2013.0,119
501434,2013.0,119
520118,2013.0,68
580107,2013.0,105
580107,2013.0,105
580203,2013.0,115
580304,2013.0,109
580304,2013.0,109
580805,2013.0,100
590605,2013.0,88
591005,2013.0,90
591805,2013.0,91
591905,2013.0,88
592105,2013.0,88
592305,2013.0,90
610323,2013.0,99
610323,2013.0,99
610422,2013.0,99
610523,2013.0,95
610620,2013.0,101
610723,2013.0,95
610822,2013.0,99
610823,2013.0,98
610823,2013.0,98
610823,2013.0,98
610920,2013.0,101
610920,2013.0,101
611122,2013.0,100
630110,2013.0,76
630210,2013.0,76
630211,2013.0,96
630224,2013.0,42
630224,2013.0,42
630323,2013.0,42
630510,2013.0,76
630810,2013.0,67
630923,2013.0,42
720111,2013.0,99
720214,2013.0,97
800107,2013.0,43
800407,2013.0,42
800507,2013.0,43
820403,2013.0,50
880104,2013.0,75
880110,2013.0,76
880319,2013.0,96
880417,2013.0,75
880417,2013.0,75
880417,2013.0,75
880504,2013.0,91
881113,2013.0,60
881404,2013.0,90
881404,2013.0,90
881604,2013.0,75
900405,2013.0,101
210302,2014.0,61
210702,2014.0,61
250304,2014.0,35
250406,2014.0,35
350116,2014.0,70
350116,2014.0,70
350116,2014.0,70
350511,2014.0,90
350511,2014.0,90
350610,2014.0,91
350814,2014.0,70
360219,2014.0,98
360416,2014.0,97
360417,2014.0,93
360511,2014.0,101
360511,2014.0,101
440109,2014.0,113
440113,2014.0,105
440209,2014.0,115
440315,2014.0,111
440415,2014.0,109
440508,2014.0,129
440516,2014.0,111
460107,2014.0,69
460107,2014.0,69
460107,2014.0,69
460307,2014.0,61
460405,2014.0,71
460501,2014.0,99
460508,2014.0,54
460508,2014.0,54
460604,2014.0,79
460703,2014.0,74
