RouteNumber,year,first
360511,2004.0,85
360511,2004.0,85
440109,2004.0,113
440113,2004.0,111
440209,2004.0,114
440315,2004.0,111
440415,2004.0,114
440508,2004.0,122
440516,2004.0,118
460107,2004.0,64
460107,2004.0,64
460107,2004.0,64
460307,2004.0,65
460405,2004.0,65
460501,2004.0,86
460508,2004.0,62
460508,2004.0,62
460604,2004.0,65
460703,2004.0,65
460703,2004.0,65
460703,2004.0,65
460704,2004.0,66
460706,2004.0,63
470403,2004.0,101
470503,2004.0,92
500132,2004.0,87
500133,2004.0,88
500135,2004.0,88
500180,2004.0,88
500180,2004.0,88
500215,2004.0,112
500235,2004.0,88
500271,2004.0,116
500271,2004.0,116
500332,2004.0,88
500413,2004.0,104
500422,2004.0,98
500429,2004.0,96
500541,2004.0,87
500635,2004.0,88
500729,2004.0,96
500822,2004.0,106
500834,2004.0,88
501434,2004.0,93
520118,2004.0,61
580107,2004.0,105
580107,2004.0,105
580203,2004.0,120
580304,2004.0,110
580304,2004.0,110
580805,2004.0,106
590605,2004.0,66
591005,2004.0,67
591805,2004.0,67
591905,2004.0,66
592105,2004.0,66
592305,2004.0,75
610323,2004.0,88
610323,2004.0,88
610422,2004.0,92
610523,2004.0,87
610620,2004.0,95
610723,2004.0,86
610822,2004.0,91
610823,2004.0,87
610823,2004.0,87
610823,2004.0,87
610920,2004.0,89
610920,2004.0,89
611122,2004.0,102
630110,2004.0,65
630210,2004.0,65
630211,2004.0,66
630224,2004.0,41
630224,2004.0,41
630323,2004.0,42
630510,2004.0,64
630810,2004.0,64
630923,2004.0,42
720111,2004.0,85
720214,2004.0,67
800107,2004.0,52
800407,2004.0,46
800507,2004.0,51
820403,2004.0,61
880104,2004.0,65
880110,2004.0,65
880319,2004.0,65
880417,2004.0,64
880417,2004.0,64
880417,2004.0,64
880504,2004.0,65
881113,2004.0,60
881404,2004.0,65
881404,2004.0,65
881604,2004.0,65
900405,2004.0,87
210302,2005.0,66
210702,2005.0,67
250304,2005.0,38
250406,2005.0,38
350116,2005.0,52
350116,2005.0,52
350116,2005.0,52
350511,2005.0,84
350511,2005.0,84
350610,2005.0,84
350814,2005.0,47
360219,2005.0,89
360416,2005.0,88
360417,2005.0,87
360511,2005.0,90
360511,2005.0,90
440109,2005.0,115
440113,2005.0,110
440209,2005.0,116
440315,2005.0,110
440415,2005.0,110
440508,2005.0,129
440516,2005.0,110
460107,2005.0,72
460107,2005.0,72
460107,2005.0,72
460307,2005.0,78
460405,2005.0,84
460501,2005.0,96
460508,2005.0,54
460508,2005.0,54
460604,2005.0,86
460703,2005.0,84
460703,2005.0,84
460703,2005.0,84
460704,2005.0,87
460706,2005.0,67
470403,2005.0,98
470503,2005.0,97
500132,2005.0,93
500133,2005.0,94
500135,2005.0,93
500180,2005.0,93
500180,2005.0,93
500215,2005.0,99
500235,2005.0,93
500271,2005.0,99
500271,2005.0,99
500332,2005.0,94
500413,2005.0,96
500422,2005.0,95
500429,2005.0,94
500541,2005.0,93
500635,2005.0,93
500729,2005.0,94
500822,2005.0,96
500834,2005.0,93
501434,2005.0,94
520118,2005.0,49
580107,2005.0,100
580107,2005.0,100
580203,2005.0,116
580304,2005.0,108
580304,2005.0,108
580805,2005.0,101
590605,2005.0,89
591005,2005.0,91
591805,2005.0,91
591905,2005.0,89
592105,2005.0,88
592305,2005.0,94
610323,2005.0,97
610323,2005.0,97
610422,2005.0,97
610523,2005.0,97
610620,2005.0,98
610723,2005.0,96
610822,2005.0,97
610823,2005.0,97
610823,2005.0,97
610823,2005.0,97
610920,2005.0,97
610920,2005.0,97
611122,2005.0,100
630110,2005.0,57
630210,2005.0,66
630211,2005.0,80
630224,2005.0,44
630224,2005.0,44
630323,2005.0,44
630510,2005.0,55
630810,2005.0,55
630923,2005.0,44
720111,2005.0,91
720214,2005.0,90
800107,2005.0,44
800407,2005.0,43
800507,2005.0,44
820403,2005.0,45
880104,2005.0,80
880110,2005.0,79
880319,2005.0,79
880417,2005.0,66
880417,2005.0,66
880417,2005.0,66
880504,2005.0,79
881113,2005.0,46
881404,2005.0,81
881404,2005.0,81
881604,2005.0,79
900405,2005.0,96
